date,search_query,condition,conversion_percent,price,conversion,shows,click,ctr,expense,campaign,group,number_ad,region,device,gender,category,average_cost_click,average_position_show,average_position_click,refusals,depth,conversion_thanks,conversion_calls,conversion_wa,price_thanks,price_calls,price_wa,thanks,calls,wa,phrase
06.12.2021,стройматериалы,стройматериалы,-,-,-,2,0,"0,00","0,00",Стройматериалы,Стройматериалы,M-11425986761,Область,десктоп,женский,Целевые запросы,-,"2,50",-,-,-,-,-,-,-,-,-,-,-,-,-
06.12.2021,шпаргалка по кубометрам на стройматериалы,стройматериалы,-,-,-,1,0,"0,00","0,00",Стройматериалы,Стройматериалы,M-11425986761,Область,мобильные,женский,Целевые запросы,-,"5,00",-,-,-,-,-,-,-,-,-,-,-,-,-
